Index,국가,확진자,치료중,위중증,사망자,완치,치명률,완치율,발생률,인구수
1,미국,86988671,3127641,2831,1035031,82825999,1.2,95.2,262804,331002651
2,인도,43197522,32498,698,524723,42640301,1.2,98.7,31302,1380004385
3,브라질,31315777,492690,8318,667701,30155386,2.1,96.3,147327,212559417
4,프랑스,29713219,422073,1173,148668,29142478,0.5,98.1,455211,65273511
5,독일,26652380,709132,631,139948,25803300,0.5,96.8,318108,83783942
6,영국,22363067,176940,188,179083,22007044,0.8,98.4,329421,67886011
7,러시아,18365879,204144,2300,379813,17781922,2.1,96.8,125850,145934462
8,대한민국,18200346,17206499,106,24323,969524,0.1,5.3,354996,51269185
9,이탈리아,17566061,628995,199,167169,16769897,1,95.5,290531,60461826
10,터키,15072747,2526,975,98965,14971256,0.7,99.3,178716,84339067
11,스페인,12436538,427479,339,106914,11902145,0.9,95.7,265995,46754778
12,베트남,10728720,1149641,75,43081,9535998,0.4,88.9,110221,97338579
13,아르헨티나,9276618,251646,344,128973,8895999,1.4,95.9,205254,45195774
14,일본,9011259,198004,81,30860,8782395,0.3,97.5,71249,126476461
15,네덜란드,8097174,-1,34,22327,-1,0.3,-1,472555,17134872
16,호주,7541617,258558,101,8919,7274140,0.1,96.5,295751,25499884
17,이란,7233117,34348,414,141342,7057427,2,97.6,86116,83992949
18,콜롬비아,6109105,30790,342,139867,5938448,2.3,97.2,120062,50882891
19,인도네시아,6058180,3922,2771,156628,5897630,2.6,97.3,22149,273523615
20,폴란드,6009479,557574,408,116368,5335537,1.9,88.8,158785,37846611
21,멕시코,5802672,397839,4798,325055,5079778,5.6,87.5,45005,128932753
22,우크라이나,5014929,848304,177,108605,4058020,2.2,80.9,114670,43733762
23,포르투갈,4894982,690791,61,23488,4180703,0.5,85.4,480055,10196709
24,말레이시아,4518965,21589,26,35705,4461671,0.8,98.7,139621,32365999
25,태국,4477052,25259,1496,30265,4421528,0.7,98.8,64141,69799978
26,북한,4304380,93699,-1,71,4210610,0,97.8,166974,25778816
27,오스트리아,4280049,39712,39,18687,4221650,0.4,98.6,475223,9006398
28,벨기에,4164698,62616,66,31799,4070283,0.8,97.7,359347,11589623
29,이스라엘,4164482,21405,150,10867,4132210,0.3,99.2,481135,8655535
30,남아프리카 공화국,3973086,25065,192,101424,3846597,2.6,96.8,66990,59308690
31,체코,3922254,1301,5,40297,3880656,1,98.9,366258,10708981
32,캐나다,3888131,304553,252,41303,3542275,1.1,91.1,103018,37742154
33,칠레,3771509,190135,168,58005,3523369,1.5,93.4,197294,19116201
34,필리핀,3692084,2440,476,60456,3629188,1.6,98.3,33693,109581078
35,스위스,3667742,37539,44,13967,3616236,0.4,98.6,423790,8654622
36,페루,3587142,-1,155,213289,-1,5.9,-1,108794,32971854
37,그리스,3483275,43487,115,29966,3409822,0.9,97.9,334189,10423054
38,덴마크,2988891,-1,10,6392,-1,0.2,-1,516020,5792202
39,루마니아,2911877,4665,48,65702,2841510,2.3,97.6,151363,19237691
40,대만,2693787,2676461,-1,3584,13742,0.1,0.5,113105,23816775
41,스웨덴,2509366,-1,6,18981,-1,0.8,-1,248470,10099265
42,이라크,2329108,1152,10,25221,2302735,1.1,98.9,57906,40222493
43,세르비아,2019429,5104,9,16096,1998229,0.8,99,231125,8737371
44,방글라데시,1953812,19910,1328,29131,1904771,1.5,97.5,11864,164689383
45,헝가리,1921486,21821,8,46571,1853094,2.4,96.4,198904,9660351
46,슬로바키아,1790791,1752,17,20109,1768930,1.1,98.8,328005,5459642
47,요르단,1697271,241,124,14068,1682962,0.8,99.2,166348,10203134
48,조지아,1657729,3610,-1,16826,1637293,1,98.8,415558,3989167
49,아일랜드,1570519,18517,24,7383,1544619,0.5,98.4,318061,4937786
50,파키스탄,1530965,4463,44,30379,1496123,2,97.7,6931,220892340
51,노르웨이,1435512,1343350,20,3210,88952,0.2,6.2,264794,5421241
52,싱가포르,1329225,80606,9,1394,1247225,0.1,93.8,227205,5850342
53,카자흐스탄,1305828,87,24,13662,1292079,1,98.9,69545,18776707
54,뉴질랜드,1221724,42885,-1,1240,1177599,0.1,96.4,253352,4822233
55,모로코,1171972,3563,293,16082,1152327,1.4,98.3,31752,36910560
56,불가리아,1166476,70298,29,37188,1058990,3.2,90.8,167876,6948445
57,크로아티아,1139034,2068,5,16012,1120954,1.4,98.4,277457,4105267
58,핀란드,1114573,1063859,21,4714,46000,0.4,4.1,201160,5540720
59,쿠바,1105517,166,23,8529,1096822,0.8,99.2,97603,11326616
60,레바논,1100007,2737,186,10437,1086833,0.9,98.8,161163,6825445
61,리투아니아,1063482,17280,8,9150,1037052,0.9,97.5,390657,2722289
62,튀니지,1043540,31262,29,28648,983630,2.7,94.3,88296,11818619
63,슬로베니아,1027524,3573,7,6643,1017308,0.6,99,494254,2078938
64,벨라루스,982867,47353,-1,6978,928536,0.7,94.5,104015,9449323
65,네팔,979235,112,-1,11952,967171,1.2,98.8,33608,29136808
66,우루과이,934961,7637,18,7262,920062,0.8,98.4,269152,3473730
67,아람에미레이트,913984,15231,-1,2305,896448,0.3,98.1,92411,9890402
